PRTAGE,PESEX,GESTFIPS,PRCITSHP,PTDTRACE,PEMARITL,HRNUMHOU,PRNMCHLD,PEEDUCA,PRCOW1,PRDTIND1,PRDTOCC1,PRHRUSL,HEFAMINC
50,1,16,5,1,1,5,2,35,3,51,22,6,14
27,1,6,1,1,6,4,0,39,3,51,12,6,15
35,2,6,1,2,6,2,1,39,2,51,15,6,9
29,1,51,1,1,6,2,0,39,3,51,21,6,12
57,1,53,1,1,6,5,0,39,3,51,12,6,14
56,2,6,1,1,5,2,0,39,2,51,2,6,15
85,1,6,1,1,4,2,0,39,2,51,1,6,13
30,1,48,1,1,4,5,3,39,1,51,20,6,15
44,1,54,1,1,3,1,0,39,3,51,12,6,11
48,1,25,1,1,2,3,0,39,3,51,12,6,6
51,1,1,1,1,1,5,1,39,3,51,12,6,14
36,1,6,1,1,1,4,2,39,3,51,12,6,16
60,1,6,1,1,1,2,0,39,1,51,17,6,16
28,1,12,1,1,1,2,0,39,3,51,12,6,14
34,1,16,1,1,1,2,0,39,3,51,12,6,14
64,1,16,1,1,1,2,0,39,3,51,12,6,15
26,1,18,1,1,1,3,1,39,2,51,12,6,8
29,2,35,1,3,1,4,2,39,3,51,16,6,14
41,2,41,1,1,1,9,2,39,2,51,15,6,11
59,1,41,1,1,1,2,0,39,3,51,12,6,15
56,1,48,1,1,1,2,0,39,3,51,12,6,13
29,1,49,1,1,1,8,1,39,1,51,21,6,15
50,2,51,1,1,1,5,0,39,1,51,3,6,14
57,1,53,1,1,1,2,0,39,3,51,12,6,14
56,1,56,1,1,1,2,0,39,3,51,12,6,15
31,1,4,1,1,6,2,0,40,1,51,12,6,15
23,1,5,1,1,6,1,0,40,3,51,10,6,11
45,1,15,1,5,6,5,0,40,3,51,12,6,15
31,1,35,1,1,6,1,0,40,1,51,12,6,15
20,1,35,1,1,6,1,0,40,3,51,12,6,12
27,2,38,1,3,6,2,0,40,1,51,12,6,2
56,1,55,1,1,6,1,0,40,3,51,1,6,12
57,1,1,1,1,4,1,0,40,3,51,12,6,14
32,1,5,1,1,4,1,0,40,3,51,12,6,10
51,1,5,1,1,4,1,0,40,3,51,12,6,11
55,2,16,1,1,4,2,0,40,3,51,17,6,11
46,1,17,1,1,4,2,1,40,3,51,12,6,14
49,1,25,1,1,4,1,0,40,3,51,1,6,15
41,1,6,1,1,1,4,2,40,2,51,12,6,15
60,1,8,1,1,1,2,0,40,3,51,12,6,15
51,1,11,1,2,1,2,0,40,1,51,1,6,16
56,1,12,1,1,1,2,0,40,3,51,12,6,11
53,1,15,1,5,1,6,0,40,3,51,12,6,15
44,1,16,3,1,1,4,2,40,3,51,10,6,15
60,2,21,1,1,1,2,0,40,2,51,1,6,15
57,1,24,1,1,1,4,1,40,3,51,12,6,16
27,1,33,1,1,1,2,0,40,3,51,12,6,15
41,1,36,4,1,1,4,1,40,1,51,12,6,13
53,1,38,1,3,1,3,0,40,2,51,11,6,9
52,1,39,1,1,1,2,0,40,3,51,17,6,13
56,2,42,1,1,1,5,0,40,3,51,12,6,15
54,1,42,1,1,1,3,1,40,3,51,12,6,16
37,1,54,1,1,1,5,3,40,2,51,12,6,14
41,1,54,1,2,1,4,1,40,3,51,12,6,12
57,2,41,1,1,6,2,0,41,1,51,15,6,13
37,1,20,1,2,5,1,0,41,1,51,17,6,12
48,1,45,1,2,5,1,0,41,2,51,22,6,14
36,1,54,1,1,4,1,0,41,3,51,12,6,11
65,2,6,5,1,1,2,0,41,3,51,15,6,4
52,1,12,4,1,1,4,0,41,3,51,12,6,14
36,1,16,1,1,1,5,3,41,3,51,12,6,13
47,1,17,1,1,1,4,2,41,3,51,1,6,13
46,1,45,1,1,1,5,3,41,3,51,12,6,13
36,1,53,1,1,1,3,1,41,3,51,12,6,15
26,1,46,1,1,6,4,0,42,2,51,12,6,14
35,2,56,1,1,6,1,0,42,3,51,12,6,9
48,1,1,1,1,1,5,3,42,3,51,12,6,14
