age,weekly_hrs,educ,fam_income,num_in_house,num_child,sex,marital,race,state,citizen,worker_class,industry,occupation,faminc_50,ismarried
17,60,34,7,11,0,1,6,1,36,1,6,1,18,0,0
64,20,35,16,2,0,1,1,1,18,1,6,6,21,1,1
55,40,36,2,2,0,1,1,1,23,1,6,47,20,0,1
58,18,36,9,2,0,1,4,1,37,1,6,22,14,0,0
17,15,36,15,5,0,1,6,1,27,1,6,1,18,1,0
26,15,37,11,7,0,1,6,1,6,1,6,38,20,0,0
29,25,37,12,3,0,1,6,1,50,1,6,47,20,1,0
18,40,38,14,4,0,1,6,1,56,1,6,1,18,1,0
22,40,39,11,5,3,2,1,1,32,1,6,38,20,0,1
38,40,39,15,4,1,1,1,1,56,1,6,43,1,1,1
52,40,39,14,4,0,2,1,1,36,1,6,22,16,1,1
53,20,39,11,4,2,2,1,1,26,1,6,4,17,0,1
59,40,39,15,3,0,2,1,1,26,1,6,4,17,1,1
59,20,39,16,2,0,2,1,1,46,1,6,4,19,1,1
62,35,39,8,2,0,1,1,1,22,1,6,1,18,0,1
63,20,39,14,2,0,1,1,1,17,1,6,13,22,1,1
65,20,39,11,2,0,2,1,1,53,1,6,4,17,0,1
19,16,39,15,3,0,1,6,1,48,1,6,47,21,1,0
24,20,39,14,3,0,1,6,1,5,1,6,48,16,1,0
42,60,40,15,3,0,2,1,1,56,1,6,4,2,1,1
56,30,40,12,2,0,1,1,1,55,1,6,21,9,1,1
64,20,40,11,2,0,2,1,1,50,1,6,47,17,0,1
70,20,40,15,2,0,2,1,1,49,1,6,6,17,1,1
75,40,40,11,2,0,2,1,1,42,1,6,34,14,0,1
28,40,40,14,4,0,2,2,1,37,1,6,38,14,1,1
32,30,40,15,3,0,1,4,1,4,1,6,22,21,1,0
34,40,41,11,5,3,2,1,1,12,1,6,38,17,0,1
48,40,41,16,4,1,2,1,1,53,1,6,22,16,1,1
34,40,43,13,3,1,2,1,1,46,1,6,43,1,1,1
51,40,43,12,5,1,2,1,1,2,1,6,2,13,1,1
66,20,43,14,2,0,2,1,1,5,1,6,1,13,1,1
57,15,44,16,4,1,2,1,1,10,1,6,42,17,1,1
22,40,34,16,6,0,1,6,2,48,4,6,11,21,1,0
22,40,34,16,6,0,1,6,2,48,4,6,11,21,1,0
22,40,34,16,6,0,1,6,2,48,4,6,11,21,1,0
32,10,39,12,2,0,2,1,1,17,4,6,4,17,1,1
65,25,40,10,2,0,2,1,1,39,4,6,36,17,0,1
31,60,39,12,6,4,2,1,2,15,5,6,1,16,1,1
48,40,34,13,4,1,1,1,1,6,5,6,38,20,1,1
28,40,39,3,4,0,1,1,6,15,1,5,47,20,0,1
32,40,42,11,4,0,1,6,6,15,1,5,16,21,0,0
41,40,31,3,3,0,1,4,6,42,1,5,46,13,0,0
51,8,42,12,3,1,1,1,6,15,1,5,38,14,1,1
25,45,39,9,1,0,1,6,6,40,1,5,40,9,0,0
33,45,43,14,4,2,1,1,6,6,1,5,38,1,1,1
28,35,43,8,2,0,2,4,6,48,1,5,44,15,0,0
53,40,43,12,1,0,2,5,6,6,1,5,42,10,1,0
51,30,37,15,2,0,2,1,6,23,1,5,47,17,1,1
35,70,37,12,1,0,1,6,6,47,1,5,23,22,1,0
47,20,39,9,2,0,2,1,6,28,1,5,46,13,0,1
53,30,39,11,2,0,1,1,6,47,1,5,38,1,0,1
54,40,39,12,5,1,1,1,6,2,1,5,2,18,1,1
74,14,39,8,2,0,1,1,6,9,1,5,1,1,0,1
32,30,39,10,3,0,1,3,6,40,1,5,48,15,0,0
40,49,39,12,5,1,2,4,6,33,1,5,38,14,1,0
19,20,39,9,5,0,2,6,6,13,1,5,46,13,0,0
62,55,39,7,1,0,1,6,6,50,1,5,47,21,0,0
29,50,40,8,3,1,1,1,6,53,1,5,1,15,0,1
43,36,40,9,5,2,1,1,6,13,1,5,23,22,0,1
54,32,40,14,3,0,1,1,6,6,1,5,4,19,1,1
50,1,40,7,1,0,1,4,6,46,1,5,4,20,0,0
58,30,41,16,2,0,2,1,6,41,1,5,22,9,1,1
56,99,42,7,5,1,2,4,6,12,1,5,42,15,0,0
35,30,43,7,4,2,1,1,6,41,1,5,23,22,0,1
40,15,43,15,3,1,1,1,6,5,1,5,34,1,1,1
54,2,43,15,3,0,2,1,6,41,1,5,42,16,1,1
55,50,43,16,2,0,1,1,6,15,1,5,36,1,1,1
85,40,43,14,2,0,1,5,6,51,1,5,32,2,1,0
34,30,43,12,2,0,2,1,6,51,1,5,43,15,1,1
42,40,43,14,2,0,1,1,6,6,1,5,4,19,1,1
29,40,39,11,3,1,1,1,5,15,1,5,4,19,0,1
63,40,39,9,4,2,2,1,5,15,1,5,34,16,0,1
56,40,39,16,3,0,1,6,5,15,1,5,38,14,1,0
42,60,40,15,7,0,1,1,5,15,1,5,46,1,1,1
47,40,40,16,6,2,1,1,5,49,1,5,46,1,1,1
29,15,43,15,2,0,2,1,5,15,1,5,44,15,1,1
64,4,43,15,6,0,2,1,5,15,1,5,1,1,1,1
32,40,44,12,2,0,1,1,5,15,1,5,44,9,1,1
37,40,35,10,6,0,2,6,4,15,1,5,4,19,0,0
34,40,37,6,4,2,1,1,4,6,1,5,47,16,0,1
43,40,39,16,2,0,1,1,4,8,1,5,22,16,1,1
58,55,39,10,3,0,1,1,4,6,1,5,4,19,0,1
58,28,39,15,2,0,2,1,4,34,1,5,47,21,1,1
30,49,39,16,3,0,1,6,4,15,1,5,33,16,1,0
29,30,40,14,4,0,1,1,4,15,1,5,23,22,1,1
52,40,40,14,2,0,2,1,4,48,1,5,46,1,1,1
55,50,40,9,4,2,1,1,4,53,1,5,46,1,0,1
58,40,40,6,2,0,2,1,4,48,1,5,36,1,0,1
41,72,40,15,2,0,2,2,4,2,1,5,42,1,1,1
24,30,40,16,5,0,1,6,4,15,1,5,36,9,1,0
24,40,40,14,3,0,1,6,4,36,1,5,48,15,1,0
20,20,41,16,5,0,1,6,4,15,1,5,38,14,1,0
40,50,42,7,4,2,2,4,4,6,1,5,43,8,0,0
26,50,43,12,2,0,2,1,4,1,1,5,46,1,1,1
41,50,43,16,5,0,1,1,4,34,1,5,21,1,1,1
53,40,43,15,5,0,1,1,4,6,1,5,38,2,1,1
55,40,43,16,3,0,2,1,4,48,1,5,36,1,1,1
67,20,43,15,2,0,1,1,4,6,1,5,48,16,1,1
73,45,43,16,5,0,2,1,4,34,1,5,21,17,1,1
38,25,43,1,2,0,1,6,4,6,1,5,44,9,0,0
38,40,43,6,2,0,1,6,4,55,1,5,38,12,0,0
41,45,43,9,1,0,1,6,4,11,1,5,44,9,0,0
41,40,43,9,2,0,1,6,4,15,1,5,39,22,0,0
28,50,44,12,2,0,1,1,4,1,1,5,46,1,1,1
44,45,44,16,4,2,2,1,4,6,1,5,42,10,1,1
57,40,44,1,4,0,1,1,4,15,1,5,42,16,0,1
64,60,45,16,1,0,1,4,4,15,1,5,36,7,1,0
65,40,45,12,12,0,2,4,4,6,1,5,42,15,1,0
41,70,34,15,3,0,1,1,3,56,1,5,23,22,1,1
24,35,39,12,2,0,1,1,3,40,1,5,4,19,1,1
30,70,39,12,8,3,1,1,3,2,1,5,2,18,1,1
35,40,39,11,4,2,1,1,3,35,1,5,4,1,0,1
44,30,39,9,4,1,1,1,3,35,1,5,5,21,0,1
51,40,39,16,2,0,2,1,3,1,1,5,23,22,1,1
54,50,39,16,3,0,1,1,3,47,1,5,4,19,1,1
64,20,39,3,2,0,1,1,3,40,1,5,38,14,0,1
43,30,39,8,3,0,1,4,3,48,1,5,47,21,0,0
55,40,39,12,2,0,1,4,3,40,1,5,4,19,1,0
22,40,39,11,4,0,1,6,3,40,1,5,38,14,0,0
45,25,39,15,6,0,1,6,3,2,1,5,38,14,1,0
55,20,39,1,1,0,1,6,3,53,1,5,1,1,0,0
43,55,40,16,4,2,2,1,3,6,1,5,33,16,1,1
45,40,40,9,1,0,2,4,3,40,1,5,48,15,0,0
30,60,40,14,3,2,1,6,3,2,1,5,4,19,1,0
34,6,41,16,5,3,2,1,3,38,1,5,22,16,1,1
54,12,42,11,2,0,2,4,3,35,1,5,5,21,0,0
34,0,43,10,5,3,2,1,3,40,1,5,44,9,0,1
60,85,43,14,2,0,1,1,3,29,1,5,1,1,1,1
37,35,43,14,2,1,2,4,3,2,1,5,36,1,1,0
27,30,43,11,2,0,1,6,3,40,1,5,38,14,0,0
51,24,35,7,2,0,2,1,2,1,1,5,45,1,0,1
15,7,35,14,4,0,1,6,2,34,1,5,47,22,1,0
15,6,35,9,2,0,1,6,2,47,1,5,4,19,0,0
47,24,35,9,1,0,2,6,2,6,1,5,42,15,0,0
43,15,36,9,8,5,1,1,2,22,1,5,38,14,0,1
57,60,36,14,2,0,1,1,2,5,1,5,23,22,1,1
57,40,36,15,7,3,1,1,2,48,1,5,4,19,1,1
32,40,36,1,1,0,2,6,2,5,1,5,43,15,0,0
34,40,36,5,4,2,1,6,2,28,1,5,4,19,0,0
53,40,36,5,1,0,1,6,2,6,1,5,43,1,0,0
57,8,36,11,1,0,1,6,2,12,1,5,4,19,0,0
51,40,37,14,3,1,1,1,2,10,1,5,38,14,1,1
27,50,37,10,2,0,1,6,2,28,1,5,23,22,0,0
35,40,37,4,2,0,1,6,2,45,1,5,1,1,0,0
38,35,37,4,4,2,1,6,2,36,1,5,4,19,0,0
40,20,37,7,4,0,2,6,2,28,1,5,43,15,0,0
58,40,38,6,4,0,2,1,2,22,1,5,43,15,0,1
28,20,38,14,2,0,1,6,2,12,1,5,4,19,1,0
59,8,38,1,3,0,1,6,2,54,1,5,38,14,0,0
28,40,39,13,5,3,1,1,2,45,1,5,4,1,1,1
30,30,39,2,4,2,1,1,2,39,1,5,4,19,0,1
34,40,39,11,5,3,1,1,2,31,1,5,46,13,0,1
37,60,39,16,6,4,1,1,2,18,1,5,23,22,1,1
43,40,39,12,5,2,1,1,2,22,1,5,6,21,1,1
51,40,39,11,3,1,1,1,2,12,1,5,47,16,0,1
52,48,39,12,3,0,2,1,2,39,1,5,43,15,1,1
53,60,39,12,2,0,2,1,2,10,1,5,43,15,1,1
54,30,39,14,2,0,2,1,2,5,1,5,23,1,1,1
55,40,39,1,2,0,1,1,2,40,1,5,22,13,0,1
55,50,39,13,2,0,1,1,2,48,1,5,1,1,1,1
56,40,39,7,2,0,2,1,2,17,1,5,43,15,0,1
56,15,39,11,3,0,1,1,2,37,1,5,38,14,0,1
57,40,39,1,6,3,1,1,2,12,1,5,47,21,0,1
59,20,39,8,2,0,1,1,2,42,1,5,23,17,0,1
59,50,39,14,2,0,1,1,2,48,1,5,23,22,1,1
65,40,39,15,2,0,1,1,2,29,1,5,4,19,1,1
71,0,39,10,2,0,1,1,2,1,1,5,1,1,0,1
50,40,39,3,2,0,2,2,2,28,1,5,22,16,0,1
60,5,39,8,2,0,1,3,2,28,1,5,4,19,0,0
29,45,39,8,5,3,2,4,2,26,1,5,22,16,0,0
41,60,39,10,2,1,1,4,2,10,1,5,36,1,0,0
52,35,39,2,2,0,1,4,2,26,1,5,34,1,0,0
60,50,39,13,4,0,1,4,2,28,1,5,47,16,1,0
69,40,39,10,1,0,1,4,2,1,1,5,46,14,0,0
70,40,39,6,2,0,1,4,2,11,1,5,48,15,0,0
16,5,39,9,9,0,2,6,2,41,1,5,36,9,0,0
21,40,39,2,4,0,2,6,2,12,1,5,46,16,0,0
21,40,39,13,2,0,1,6,2,28,1,5,44,9,1,0
25,20,39,1,1,0,1,6,2,40,1,5,38,14,0,0
25,40,39,8,6,0,1,6,2,45,1,5,10,20,0,0
25,40,39,14,4,0,2,6,2,48,1,5,38,16,1,0
27,40,39,12,3,0,2,6,2,47,1,5,43,15,1,0
29,40,39,5,1,0,2,6,2,45,1,5,38,14,0,0
30,40,39,8,1,0,2,6,2,45,1,5,38,14,0,0
31,40,39,13,1,0,2,6,2,45,1,5,38,14,1,0
32,30,39,4,2,0,1,6,2,1,1,5,38,14,0,0
33,50,39,12,2,0,2,6,2,54,1,5,44,9,1,0
35,21,39,12,3,0,1,6,2,17,1,5,44,15,1,0
40,40,39,3,2,0,2,6,2,37,1,5,48,15,0,0
40,40,39,8,2,0,2,6,2,51,1,5,22,16,0,0
42,40,39,3,2,0,2,6,2,1,1,5,48,15,0,0
48,40,39,14,3,1,1,6,2,42,1,5,37,2,1,0
50,40,39,5,2,0,1,6,2,48,1,5,38,14,0,0
52,4,39,1,1,0,1,6,2,40,1,5,4,19,0,0
52,5,39,11,1,0,1,6,2,40,1,5,47,22,0,0
54,40,39,12,4,1,1,6,2,11,1,5,47,22,1,0
