age,weekly_hrs,educ,fam_income,num_in_house,num_child,sex,marital,race,region,state,citizen,worker_class,industry,occupation,ismarried,faminc_50
28,40,11,11,6,4,1,6,6,4,15,1,4,5,4,0,0
44,50,13,16,5,2,1,1,6,3,10,1,2,10,2,1,1
23,20,9,14,3,0,1,6,6,2,26,1,4,8,10,0,1
20,20,7,9,5,0,2,6,6,3,45,2,4,11,3,0,0
20,20,9,13,4,0,1,6,6,4,15,1,4,9,3,0,1
20,20,9,13,4,0,2,6,6,4,15,1,4,11,3,0,1
18,20,9,15,6,0,1,6,6,4,15,1,4,11,3,0,1
42,20,9,13,8,3,1,6,6,4,15,1,4,3,7,0,1
23,20,10,15,4,0,1,6,6,4,15,1,4,5,4,0,1
19,20,10,15,6,0,1,6,6,4,15,1,4,11,3,0,1
29,20,10,15,6,0,2,6,6,4,15,1,2,13,3,0,1
22,20,10,16,6,0,1,6,6,4,15,1,4,11,10,0,1
34,20,11,15,2,0,2,6,6,4,15,1,4,5,4,0,1
25,30,11,16,6,1,2,1,6,4,15,1,4,10,3,1,1
30,38,9,14,3,0,1,6,6,4,15,1,4,5,4,0,1
18,40,8,9,5,0,1,6,6,3,45,2,4,8,8,0,0
36,40,9,13,6,2,1,1,6,4,15,1,4,3,7,1,1
39,40,9,11,3,0,1,6,6,4,15,1,4,9,2,0,0
50,40,9,14,4,0,1,1,6,4,15,1,4,9,3,1,1
33,40,9,14,4,0,2,1,6,4,15,1,1,13,2,1,1
35,40,9,13,8,2,2,6,6,4,15,1,2,13,3,0,1
24,40,9,15,6,1,1,6,6,4,15,1,4,5,9,0,1
23,40,9,15,6,0,2,6,6,4,15,1,4,10,5,0,1
57,40,9,9,4,0,1,1,6,4,15,1,4,12,8,1,0
39,40,9,10,6,4,1,6,6,4,15,1,4,3,7,0,0
29,40,9,14,3,0,2,6,6,4,15,1,4,5,4,0,1
22,40,10,8,2,0,1,6,6,4,6,1,4,9,5,0,0
20,40,10,12,4,0,2,6,6,4,15,1,4,10,3,0,1
42,40,10,4,4,2,1,5,6,4,15,1,4,5,4,0,0
43,40,10,15,3,1,2,1,6,4,15,1,4,9,5,1,1
40,40,12,13,4,0,2,1,6,4,15,1,4,3,4,1,1
80,40,12,15,2,0,2,3,6,4,15,1,4,5,4,0,1
27,40,13,12,3,1,1,6,6,4,15,1,4,3,7,0,1
48,40,13,15,4,0,2,1,6,4,15,1,4,5,4,1,1
40,40,13,16,2,0,2,1,6,4,15,1,4,3,7,1,1
43,45,10,16,2,0,1,1,6,4,15,1,3,13,3,1,1
26,50,10,12,1,0,1,6,6,4,15,1,4,4,7,0,1
44,70,10,16,5,2,1,1,6,4,15,1,4,3,7,1,1
68,70,12,14,2,0,2,1,6,4,15,1,4,5,4,1,1
40,40,10,12,4,1,1,1,6,4,15,1,4,11,3,1,1
25,40,9,8,3,2,2,6,6,4,6,1,4,9,1,0,0
23,40,10,16,4,0,2,6,6,3,37,1,4,11,3,0,1
43,40,14,16,2,0,2,1,6,3,48,1,2,10,1,1,1
47,30,10,10,1,0,2,6,6,3,37,1,4,11,3,0,0
24,10,13,2,1,0,2,6,6,3,22,1,4,11,3,0,0
57,20,4,4,2,0,1,1,6,1,25,5,4,9,3,1,0
22,20,10,10,6,0,1,6,6,4,35,5,4,9,5,0,0
17,25,9,13,3,0,1,6,6,1,36,1,4,4,9,0,1
20,26,10,2,3,0,1,6,6,3,48,1,4,5,5,0,0
55,28,13,12,1,0,2,4,6,1,42,1,4,7,2,0,1
35,30,13,6,1,0,1,6,6,4,2,1,4,6,10,0,0
41,30,13,9,4,2,2,1,6,1,44,1,4,12,2,1,0
46,30,14,13,2,0,2,3,6,4,6,1,3,10,2,0,1
39,35,14,14,2,0,1,2,6,2,29,1,3,10,2,1,1
18,36,9,11,6,0,1,6,6,2,38,1,4,11,3,0,0
19,36,10,13,6,1,2,6,6,4,6,1,4,4,4,0,1
29,40,4,7,2,0,2,1,6,1,36,5,4,11,3,1,0
54,40,4,13,3,1,1,1,6,1,36,5,4,9,9,1,1
34,40,5,7,2,0,1,1,6,1,36,5,4,4,9,1,0
46,40,9,16,2,0,1,4,6,4,6,1,4,6,8,0,1
48,40,9,13,3,1,2,1,6,1,36,4,4,4,10,1,1
50,40,9,14,4,0,1,6,6,3,40,1,3,13,3,0,1
51,40,10,13,6,1,1,1,6,4,6,1,4,4,9,1,1
36,40,10,12,3,1,2,6,6,4,6,1,4,9,1,0,1
32,40,10,12,3,1,1,6,6,4,6,1,4,3,7,0,1
58,40,10,14,2,0,1,1,6,1,34,1,4,4,5,1,1
54,40,10,14,4,0,1,1,6,3,48,1,4,6,10,1,1
21,40,10,14,4,0,1,6,6,3,48,1,4,11,1,0,1
48,40,10,11,3,0,1,4,6,1,50,1,4,4,9,0,0
34,40,13,16,2,0,2,1,6,4,2,1,1,10,2,1,1
45,40,14,14,4,1,2,1,6,4,41,1,2,10,2,1,1
45,40,14,14,4,0,2,1,6,3,48,1,3,10,1,1,1
23,41,9,7,3,1,1,6,6,3,40,1,4,9,3,0,0
48,50,13,10,6,3,1,1,6,4,35,5,5,12,8,1,0
61,55,15,15,1,0,2,4,6,3,45,4,4,10,2,0,1
19,10,10,11,4,0,2,6,6,4,15,1,4,11,4,0,0
72,18,11,16,6,0,1,1,6,4,15,1,4,8,1,1,1
18,25,9,15,10,0,2,6,6,4,15,2,4,5,4,0,1
20,25,9,15,10,0,2,6,6,4,15,2,4,5,4,0,1
57,25,11,16,2,0,1,1,6,4,2,1,4,6,8,1,1
28,30,10,11,7,3,2,1,6,4,6,1,4,10,2,1,0
33,30,13,12,4,2,2,1,6,4,15,1,4,10,2,1,1
52,40,4,11,4,1,1,1,6,4,15,4,4,12,3,1,0
44,40,5,11,4,1,2,1,6,4,15,1,4,11,3,1,0
28,40,7,3,4,0,2,1,6,4,15,1,4,5,4,1,0
53,40,7,9,5,0,1,1,6,3,45,2,4,8,8,1,0
28,40,9,3,4,0,1,1,6,4,15,1,5,12,8,1,0
45,40,9,14,3,0,2,1,6,4,15,1,1,13,5,1,1
41,40,9,15,2,0,2,1,6,4,15,1,4,8,5,1,1
